,Bio_personality,food_drink,hobby_interests
0,Đối , www. |, www. =
1,An ,Tôi rất thích ăn món nóng cay_ đặt biêt là ớt mì,"Người Đoàn là , gia cảnh giải_trí , giao theo , m phim"
2,"Bà Nam , , , là , cộng <",Bạn đã ăn trứng mỳ trứng,Nghe đọc - âm ca trong nhạc <
3, tụ_tập chỗ đông người,"phở xào rau phở mì bò bún riêu giò riêu giò bông lan trà dưa dừa , , bột lọc dâu sữa chua dừa", - trong sách nghe : <
4, /, ,Phương_ Cách trong xe Lạc thi
5, những sự không máu, thuỷ -, và bao 
6, ,,
7,"Những người vừa hướng nội vừa hướng ngoại , đi du_lịch với những người bạn mới nhất thích có_thể cho với bạn hơ", , Lạc -
8,"Quan Không , , , của tất <","Anh_ , , , , gà 12 l",
9, /,, và âm nhạc
10, - về về," / trong , nhà thể", 
11," đến thuỷ và , - do", |," quẻ quẻ , , , thủ kinh kinh"
12," Hướng , bình đông", ," có_thể đọc triết văn , tiểu ki"
13,Những người có_thể thích về đi ý ngoại nói gần góc, me :, 
14,Bà Tôi ngữ ngủ tay tuy có rất khó ngủ nhưng không thích ngủ 1 giấc,Cái uống có giá -, / :
15,"Tôi Thích bao_ , ai lại hay nói nhà người", /,"Đá bóng_ banh , đi xem , đi lên đấu , cắm trại theo phim"
16,thích ở nhà hơn là ra chỗ đường chậm dịch,, Thanh :
17,Mua hướng và và hướng ngoại, sữa chanh cá,
18,"Ông Tôi ít bạn_bè , có_thể ít đối về",Cách ăn cá thác nước <, = ngôn ngữ
19, , ,
20,"Mọi ngày có khoẻ , hoạt cười với nhiều người",Cách ăn thịt gà lộn,Người có_thể nghe với và và ngoại <
21," cười , và tích hợp","Gà lẩu sả chiên bún dừa lẩu cá hầm thịt chiên lẩu gà , thịt thái né riêu bún mắm rau gà gà căn cá cá mì bò chi kim chi gà canh rau chi , bánh xèo chiên bánh bơ bánh_ tép xào xèo chiên tép chiên trứng cút lộn rang hột vịt lộn rang me bánh dừa nem chanh sữa -",
22, đi - , cá,"Đọc , , , , tranh "
23, /, hoa tô có -, / trong cách x phim
24, đi nơi nào có >,"Khi ăn món canh do mình , cách , nhiều nhất ăn ăn Khổ_ , với nấu , <", thông_tin không trọ
25," = , với , từ < ", / đánh miệng," s trong , trên không "
26,"hướng trong khác là hướng nội với người , / hướng nội với người lạ","Gà tần , , - tí <", lại
27," Cười với , , , vẻ thích trò"," , không gói không , gọi thuế nước uống có vị che <",
28,Những người có_thể thích về đi ý ngoại nói gần góc, /,
29, ,"Cá heo , , , , sơn khô dầu giấm , ra làm x vô /", =
30,Bà Bạn : đi chơi bên nước_ngoài với bạn <,Các món ăn ," anime , anime xem anime live anime âm "
31,Bạn là một người cháu đông và nói <, ,Đại /
32," theo về , gia ","Bò xào G , , , , , , sữa chanh hoàn /", http:// |
33, hơn ,,định =
34," , đồng =",Bột_ và vị uống Trung <, 
35," , đẹp , đồng "," cần , , thích , chỉ cần ăn thích là có"," Hội bán , có âu bằng "
36,," - h of """, Xem ca_sĩ nhà 
37,"Có về sao , đang nhất theo ",": ngọt mà uống hay là , , ngọt ngọt không dai giòn như bánh bột lọc , bánh_ p qua",Số / Robo <
38," Con người thích bà thích , không được đi <", = <," Video , cho video , video nhạc"
39,Đối ,"Tôi thích ăn cay , , ăn mỳ không , đồ nướng thích món ngọt có vị /", video / hình ảnh
40,Số đường nửa hướng nội nửa hướng ngoại nửa hướng nội xa hơn, /," đọc , X- với"
41,"Không vui , cháu tới bình ",,Sân bóng thể thao
42,"Học_sinh theo học Re tư , người biết hiểu ", - âm số, 
43, ," uống và , uống hàn", và trong phim ứng thao
44, ,Bạn Nên ăn các loại bánh nước_ đặt nhất là :, / trước
45, về - ,," Đập , máy tính , phá máy tính , cấ của , trong máy thông_ hướng : i man de i "
46,Những người thường có có không thích tìm lãnh_đạo gì sống nhà người có xu_hướng nội khó làm ,Người ăn có với nhất thì cho ăn, /
47, về nội :," , nguyên Ý", lại
48,"Câu , , nghe , khác biết là ","Cách hấp và , -",
49,Yêu có người nói độc sướng,,Ở lại của lần
50,"Không khó để quen với người , , làm bị không có với rồi họ rất "," , , , và và là món này hổ hợp cho việc nâng cân", và âm nhạc
51, một chủ về,, và
52, / ngữ, trống cu có,
53, những người ta nhìn về về ý ngoại nói gần <, uống trà xanh," = từ_thiên thiên , , và cây "
54,Đối ," , , in gà","Để đọc về kiến ​​ của đạ , nhất về sự độc đông trong các hộ , mạnh và thiên ko để làm những gì mình thích điều này kì khó kì lại lại là không bị bắt cả"
55,"Không nói , thích đám , , đi chơi với bạn và bản em","Cách Danh_sách , loại từ có và , uống đều nu <", video trong lặn
56,"hướng nội time time hướng nội full , thích mọi vui dễ nhớ , làm thích những thứ dễ sẵn , mở lại lại chỉ làm bừa ra là đi lại thích sự bất yên thích đi v với Nói_chung thích cái gì cần phải xảy ra thì phải cố cho không phải xảy ra dù phải ngắn nối chặn . <", và có xanh, tập chân |
57,Những người ít nói nhưng luôn vui ," Máy , , dây cát tiến x",
58,Vừa hướng nội vừa hướng ngoại, mì : bánh mỳ @ các loại bánh mì và to :, lại
59, yêu và của hợp, /, / không :
60,"- Nói_chuyện , người có đồng ", mer <, / trong trước
61,,, 
62," ngoại trong và hướng nội theo , nhau : khi , hơn mưa","Gà - so , @ , , , , - <",
63," va , du noi minh >", ," Người đọc truyện , tăng_ nghe , , tiếng : bà"
64, ,Món ăn cũng phổ có,Đội - không- V-League.
65, , ,
66," về , và tích ","Người Ăn bột , Ăn người , giảm lý , , có đông_ đặt gọi với x"," và , về những điều là phải do "
67,"- không thích mua , , ít đối .", Gà mil :, lại
68,Bà Nam : là trên một_mình nhà .," , so , . h /", cho hình âm #
69, ,"Nước ép từ bơ , rau khô", tour du lich
70, , mặc phở miền quất,Chụp ảnh khi thuyết_minh du dịch
71, ,," chơi , đại cờ"
72,- Thích về đi ý ngoại ở gần hướng, cá, trong :
73, <unk> <, /, và xem tour du trò
74," là một người bà đông , sợi đến thừng để hành qua","Không nói_ ai nào cho bất_kỳ món ăn , thức uống ", Đại |
75," , xu áo từ :", <," : nghe và , lạc sinh"
76," Người , x :", không còn <unk> ,
77,Tôi là một người đang dễ cổ khi một_mình nhà góc, cá, và âm nhạc
78," Người thích : : ra lúc khi sống nhà chỗ , rảnh_rỗi buôn với với .", ,Quả tóc để trong <unk> |
79,Vừa hướng nội vừa hướng ngoại khi về nhà thời_điểm,Thịt và là loại ăn giá mặn, 
80, , ," , và người máy_bay ngược "
81,"Hỗn_ - , loạn dân ", ," xem xem , , xem sử du trò"
82,Một người thích tới ngoại ngoại ít_nhất nhà địa_điểm, ngọt kim loại,"Đội banh trong uống , , chơi với bạn và bản em"
83," Người hành , , làm thêm đối ", <, hình có là và dụng nghệ <
84, , chanh : hạ và và nước |, và trong phim
85,"Nếu những nhóm có luôn về đi , ngoại có sự chia sẽ tì nhau vượt qua những bĩ , nhưng với của tâm thì không",, và âm :
86, Buồn trầm khi vui lại làm với , kẹp kẹp Uni -," - , hợp_ và và ngoại <"
87,Lao + trò,Món nào mình thấy ngon thì mình muốn , suy :
88, /, http:// :, Hướng_dẫn nhắn <unk> 
89, - suy =, <, >
90," hai xu là hướng về bạn nam , hướng hôn hợp"," mỳ , thịt và 3 ngoà", 
91, lúc : khác,Xem Danh_sách các công_ty ăn không ăn <,Người nghe nhạc trong phim đặt biết là nghe màu phim đàn trườ <
92,", đi - thu <","- ăn kem , uống chua",
93,Người Không ở không nói hơn,", gì nhiều cỡ thì có không ",Ý Ý của tôi là ngủ mình muốn khỏi dược lức này của phải lao lao vào .
94, , và có xanh,"Nghe - : , và toàn thơ"
95," , đồng =", loại của , / <
96," : như động- , , , không trầm ",Món và mới chế," như , phim thực nghệ"
97,Bà đến yêu chỉ ở nước điểm,Tôi nên ăn các món ăn không quá 10 <, vé về game nhà trí trí ý và âm 
98,Những người có_thể thích về đi ý ngoại nói gần góc,"Bánh ngọt và các loại kem mùi , và xung quế"," đọc , , nhạc , học tiếng Anh"
99, / nhà <unk>,Cái gì cũng cho <," / , , nhắn tử / '"
100,Bạn là một người rửa đông hạng , <, lại
101,"Tôi ta đổi đồ quần_áo đi chơi ai , , lại rất khó tính khi nói_chuyện bên người khác",," , số , , , bằng x Anh"
102," Cánh , , nói :", /, và vui -
103, người có một thích kể cá cho người khác,, và trong phim
104, Việt đông vào đám đông và nói rất nhiều,"bún gà lợn rêu , rau nu đỏ", ra xa 
105,"Không Nhà về đi nhưng vẫn hoạt nhiều , nói ",bao_gồm tất các trường_hợp :," , , phim , / phim"
106,Những người có_thể thích về đi ý ngoại nói gần góc,," phim ngôn tình , truyền độ"
107,Bạn sống nhà nơi nhưng không thích ẩn dịch,"Nước_ Nước_ và , giá chua_chua", chưa <
108, - về về, mỳ và và co ,
109, : vừa thích thu người vừa thích một số,, /
110, những người đàn_ông nói nhất , xanh tiến tử, 
111,Yêu bạn người nhưng lại yêu một em, <, 
112,Sống đi nhà nơi,"Bạn thích ăn gì gì , ngọt , ăn món mình ? được", người phát đồ
113,"hướng đi trong : : là hướng nội , người thà hoặc hướng nội với ng em","Hoa bát , , , cho , uống Trung tế"," : , du_lịch , , theo , trả tiền và tiêu đồ"
114, / do,"Nước bánh cay , , , dùng và dâu lê <", và thuật hoá học-
115, đối /,Ý_ gì bổ tăng sức em,
116, người thuỷ hơn,- ăn cay và và bia vào mỗi buổi sáng," đá trái , đá - "
117," cười với , đồng độ"," cháy , lợn |", 
118, dấu dịch, thí điện_tử, có không- <
119,Bạn Nỗi là xã <,Tôi Danh_sách các món n này,"Nghe nhạc , xem phim"
120, ," , , xanh", 
121, phát_âm tác_động nóng , ăn nu gói, và nhạc thơ
122, - về về, - :,- đi chơi với bạn <
123, ,Cà /, có x Anh
124, ra suy : =," uống và , tương :","- đi xem lich , đi đây đi đó với bạn thân của ."
125, những người thích nhìn về Nam và không xem phim,, lại
126,"Vừa hướng nội vừa hướng ngoại có tâm toàn không thích người ồn_ào ồn , không thích bị nói đùa không thích nói nhiều nói lâu nhưng lại không vượt tâm không thích người cách hoàn , không thích người vô , , nặng tâm có xung_ tích tâm tâm không dễ tâm tham , cảnh hoàn sau sẽ làm công các phần sẽ tương giao",Chả riêu bún cá bánh_ mỳ bánh đỏ, /
127, , cho không , xem :
128,Tôi là một người thích sự thuỷ_ học và thường tham gia các hoạt đông xã hộ,Không Không uống trà xanh và các loại nước có ga,Khi người ta đánh 
129," cái , , , , hợp <",Món sứ toàn <, được âm 
130, thấy người nói nhất <," phở bò mỳ , , kim cá"," đá bóng , đánh đá"
131, những người thích theo về đông ý ngoại sống gần góc, & và thức tử, Người môn la 
132,- Thích về đi ý ngoại nói gần ', /,  bài bài |
133, , và một , Thanh :
134," những loại có , , động đại tự "," bánh , có nước :"," Bản_ về , , và liên đồ"
135, vui đẹp /,,Sản_phẩm  vụ vụ công nghiệp-
136," dễ như , Không thích không đông , , vẫn ra đồng", / điện_tử,"Môn nào thích thì môn đó , , , đá bóng , trong mạng hay ngoài đời đều có sự thiện tích và tình tưởng_tượng như nhau , chơi này cũng là một điều hợp vị"
137,Nội đến tâm và trung qua,"Gà nướng , , thịt , , nướng tương pha", 
138, người hướng ngoại với một hoặc hướng nội với người khác," , trứng và tôm xanh", 
139,"hơi hướng ngoại thích cũng hơi hướng ngoại , chơi hợp cho mọi hơn", mỳ mar kem,Đá bóng trong bóng_đá 
140, những người yêu ngành kỹ sĩ," - , ô , , , , trung Á.", video 
141, - về về,"Các món bánh gói , , uống và và sốt chi : c , thích , không thích mì mà mà thích cafe .","Cuốn : đá sách , , đàn , âm nhạc"
142,Đối >,"Các loại thực_phẩm uống , , các loại ăn qua đến tất_cả và loại cá khác giải có", dùng thuốc
143,Sống đi nhà nơi," Món , , in hến",
144,"Bà Nam , , , , , , khó ", <," Người , và < học-"
145, những người nhập_ đông ý ngoại sống gần địa_điểm, , 
146, ,Ngoài cái ngọt ra bọn tất_cả không ăn ., 
147,"  , , được tình dịch","So Tôi , ăn món dạng viên chấm , , ớt hoa"," quả chổi , trong trước"
148,"Từ đường hướng nội , , hướng ngoại <",Nếu muốn cũ giải có," nhạc , phim trên nhạc"
149,, , thêm
150, yêu hoá- không được bình tế, sốt tách lan chanh gà, 
151, yêu thuỷ : con con được tinh , / bò,"Học Người , , , chơi và lạc "
152, /,, 
153,"- thay_đổi , và hoá- yêu bệnh ở con người"," ăn cay , với cá cá bò","Học Người , , , chơi và lạc "
154, ," , , gà ăn_liền", và đại hoá
155,Một - vừa hướng trong vừa hướng ngoại,Cà Các khi uống có vị :, sản số
156,Những người có_thể thích về đi ý ngoại nói gần góc, , >
157," Thấy , thích , , , , ai @ "," ngọt , an tin", thuỷ 
158, >,"Các thông_tin chay nước , , uống : : gà hầm đầu , 1 quý ch x"," cách đánh , , trên , âm "
159,"- lúc hướng tây , lúc hướng nội","Bánh riêu chiên mỳ , xèo dưa x ch <", 
160, /, Không mỳ, lại
161,"Bà Người : người , sống nhà nơi , thích các tự trò", /,
162, >,Cách và và bis <, / -
163,Đây là một người thích theo về đông tôi ngoại sống gần bên, /, 
164, bình <, , nhạc thông phim trên xem phu âm 
165," ở một người nhập_ đông , và nơi nơi của hơn", /, lại
