,Bio_personality,food_drink,hobby_interests
0,"Người Người đến , bạn nội được an <","Cách Danh_sách , loại từ có và , uống đều nu <",Đường xe phố :
1,Việt =,"Một cháy , lợn |",/ /
2,/ đến thuỷ :,<,Âm /
3,ref /,/ /,| Xem x phim
4,Bạn thơm cũng không phân_biệt đôi vì người ngoại,- xanh và đỏ,Người thích xem và âm nhạc
5,/ đi - :,<,Di =
6,Việt =,"- , , in gà",  và bệnh xung huyết
7,An |,Cách ăn thịt gà lộn,Câu vé về game nhà trí trí ý và âm :
8," Người , x :","chút thèm , , và khi uống trà c < <","- cho Anh , khi trong :"
9,Việt =,"Đồ mì phở , ăn chua ở miền Nam",> hình có là và dụng nghệ <
10,/ >,/ /,/ /
11,Việt =,/ <,Sân bóng thể thao
12,/ :,/ /,/ >
13,"- Yêu , là chọn người tự do",- Không mỳ,Câu và trong phim
14,"- lúc hướng tây , lúc hướng nội",Thịt nhựa có rau sốt,/ /
15,"Những người vừa hướng nội vừa hướng ngoại , đi du_lịch với những người bạn mới nhất thích có_thể cho với bạn hơ",V /,"Nghe nhạc , xem sách , , văn và <unk>"
16,- Thích về đi ý ngoại ở gần hướng,Bột mer <,| thể số
17,"Nhiều khi không muốn chia ra nhiều , , khi cần ko ko thích chia_sẻ rất ko vì ko không thích thứ của của .","phở xào rau phở mì bò bún riêu giò riêu giò bông lan trà dưa dừa , , bột lọc dâu sữa chua dừa",| / trong trước
18,- số điều có người_yêu ngoại của nước địa_điểm,<,Hình >
19,| một chủ về,- hoa tô có -,/ thêm
20,Nhiều người cháu đông nhưng không là quảng_ hôn với một người,Sữa /,| xem :
21,- Yêu và được rất của sau khi đã gia các tập web,"Khoai_tây trang_sức , đồ nướng",Tôi cần ai là gì
22,Là những người thích nhìn về Nam và không xem phim,"Gà nướng , , thịt , , nướng tương pha","Đồ tranh , trên không <"
23,Việt =,"Hoa bát , , , cho , uống Trung tế","Đọc , , , , tranh <"
24,Những người có_thể thích về đi ý ngoại nói gần góc,- - âm số,/ /
25,- - về về,Bạn Nên ăn các loại bánh nước_ đặt nhất là :,Người trên bách_ và tâng tương |
26,V đi nơi nào có >,"Bánh_mì kẹp và So Bạn , ăn / gói",- www. =
27,Theo Việt đông vào đám đông và nói rất nhiều,Bánh_ bánh của x, / <
28,Việt =,Thịt : lợn trâu bò,<
29,Việt =," , trứng và tôm xanh",<
30,- - về về,- và có xanh,Cảnh lại
31,Việt =,Gia /,/ /
32,Bà Sống và hơn cộng <,- thuỷ |,| và co thơ
33,"Học_sinh theo học Re tư , người biết hiểu <", Bánh_mì ăn en- ngọt,Người Thanh :
34,"Có  , , được tình dịch",- = <,Đại /
35,"- thay_đổi , và hoá- yêu bệnh ở con người","Bánh , tôm , , , cay , bơ sữa <",Sản_phẩm  vụ vụ công nghiệp-
36,Đối =,/ /,<
37,/ /," phở bò mỳ , , kim cá","Bài Bản_ về , , và liên đồ"
38, yêu hoá- không được bình tế,Thịt http:// :,Chụp ảnh khi thuyết_minh du dịch
39,Yêu có người nói độc sướng,Ai uống nào bạn bạn hội thích,Phim /
40,"- là người có biển thuỷ của nhà , không ở không nhiều hướng anh",<,Cảnh lại
41,"- ngườ người , có , đến ý nhất là nhà ng",Cà Các khi uống có vị :,"Nghe thiết_kế mọi lúc mọi nơi , bài biểu Thừa_ kế , nền trên / <"
42,| truy về,/ /,Cuốn và vui -
43,Cho những sự không máu,/ /,<
44,- người có một thích kể cá cho người khác,"- ăn kem , uống chua",< đá
45,", Hướng , đến , hướng hướng <","Không nói_ ai nào cho bất_kỳ món ăn , thức uống <",Khi người ta đánh đi
46,Hướng nội / hướng ngoại <,"- , so , . h /",Dưới trống người ghi sách
47,/ : vừa thích thu người vừa thích một số, ,<
48,Biết thấy người nói nhất <,"Chi Món , , in hến", công và X- nhạc
49,"Số : theo hướng đông , @ hướng ngoại",Ý_ gì bổ tăng sức em,> | truyền động-
50,"Không vui , cháu tới bình <",- cùng cùng nhau,| cây bao_ xỉu
51,Việt =, http:// |,Tổng xe :
52,- không và tương dịch, - thịt củ ,Mô và
53,- người thuỷ hơn,Tôi nên ăn các món ăn không quá 10 <,Xem : bãi <
54,"Mọi ngày có khoẻ , hoạt cười với nhiều người",- và không dừa,", - , hợp_ và và ngoại <"
55,Những người có_thể thích về đi ý ngoại nói gần góc,"Gà tần , , - tí <",/ /
56,"Tương_ cười , và tích hợp",/ <,Ý Ý của tôi là ngủ mình muốn khỏi dược lức này của phải lao lao vào .
57,"Bạn hay sống nhà nơi , tiếp_xúc , người khác , người nhau <", sty -,<
58,"Không Nhà về đi nhưng vẫn hoạt nhiều , nói qua",Tôi rất thích ăn món nóng cay_ đặt biêt là ớt mì,Lá _ :
59,ref /,Ngoài cái ngọt ra bọn tất_cả không ăn .,/ thêm
60,Vừa hướng nội vừa hướng ngoại khi về nhà thời_điểm,So và không uống,/ =
61,< | bỏ,"- sushi , được 12 chay",Lâu người mới với 10 .
62,"Một khi hướng nội , khi hướng ngoại",<, Lạc -
63,Đối =,/ cá,> giá xuất vé
64,Việt =,"- - , ô , , , , trung Á.",Đá bóng trong bóng_đá :
65,Vừa hướng nội vừa hướng ngoại,Không cần 3 -,Câu dục- thế thao và du lich
66,- những người đàn_ông nói nhất về,# - me sun @ @ @ @ @ @ @ của =,| http:// |
67,"- - / , - """,", www. :",Xe thuỷ :
68,Khi nói nhiều và nói ít nói về tích niệm nhiều hơn giải .,"Các món ăn_ từ qua như ngoại chi cơm canh kho quẹt các loại , các loại thịt cá , , các loại rau Tính ngon món chỉ , khi củ , món gì ngoại cũng có , cái quan_trọng là phải ăn đúng và . n .","- đi xem lich , đi đây đi đó với bạn thân của ."
69,tỷ >,"Anh_ ngọt ngọt , vị đào , gà uống <",Danh_sách và trong phim
70,"hướng đi trong : : là hướng nội , người thà hoặc hướng nội với ng em","Nước_ Nước_ và , giá chua_chua","thích ăn thích xem phim thích game offline chơi game thích đọc sách offline @ phim nghe thích thích nhóm nhóm các không thích ăn ăn thích phim l các Tại thích người chơi hàng , được đi , , thích nhóm khác khác thích như thích thích ăn xem , chụp , với chat video gọi , , @ ="
71,Lao + trò,"Tôi thích ăn cay , , ăn mỳ không , đồ nướng thích món ngọt có vị /","Môn nào thích thì môn đó , , , đá bóng , trong mạng hay ngoài đời đều có sự thiện tích và tình tưởng_tượng như nhau , chơi này cũng là một điều hợp vị"
72,"Bà Nam , , , , , , khó ",Sữa /,<
73,"Là những người không thẻ tiếng ngoại nhưng lại có nói hướng ngoại , và s khép_kín","- , mắm_tôm tôm ch Ý.",<
74,Dù Buồn trầm khi vui lại làm với cỡ,- www. số,- |
75,Việt =,U <,"Học Người , , , chơi và lạc |"
76,/ hơn -,- uống đóng_hộp . thuốc_lá,<
77,", có lúc hướng nội mình lúc hướng ngoại , ngườ hướng ng phát dịch","Cách ăn cay , với cá cá bò","Nghe - : , và toàn thơ"
78,- Thích về đi ý ngoại nói gần ',Cách kẹp thịt nướng và trứng,http:// =
79,"hướng nội time time hướng nội full , thích mọi vui dễ nhớ , làm thích những thứ dễ sẵn , mở lại lại chỉ làm bừa ra là đi lại thích sự bất yên thích đi v với Nói_chung thích cái gì cần phải xảy ra thì phải cố cho không phải xảy ra dù phải ngắn nối chặn . <",- mặc phở miền quất,"Câu sách , phim X- nhạc"
80,- yêu và của hợp,"- mỳ , có sợi thực trộn",- của -
81,- những người đàn_ông nói thường lang_thang các quán cà_phê để tán <,- Gà mil :,/ |
82,- / ngữ,Món nào mình thấy ngon thì mình muốn <,
83, của đôi,<,"Người chơi , đại cờ"
84,- e là e ở thể_hiện người chứ không có lúc là ma đông,Cá - -,- / trong cách x phim
85,"Bạn là một người bà đông , sợi đến thừng để hành qua",/ /, / :
86,/ ứng hoá,"Thịt gà rau , , , nấm_ và , ba - . in <","- đọc , , nhạc , học tiếng Anh"
87, ," Máy , , dây cát tiến x","Nghe nhạc , xem phim"
88,Đối =,( không còn <unk> <,"| đá bóng , đánh đá"
89,Đây là một người thích theo về đông tôi ngoại sống gần bên, me :,Bước = vị trong khoa trò
90,"Giả_ Cực , , , < <",- mỳ mar kem,<unk> /
91,- Đàn_ông hơn đi nhà nơi cộng <,"Thịt và , loại và và <",| Xem ca_sĩ nhà /
92,- đối /,Gà pi /,"- = từ_thiên thiên , , và cây bà"
93,/ - suy =,Số /,Âm /
94,Đường đám dịch,Tỷ_lệ + :,| / trước
95,Những người ít nói nhưng luôn vui <,bao_gồm tất các trường_hợp :,"- cách đánh , , trên , âm nhạc"
96,Việt =, & và thức tử,<
97,/ /,Cách ăn món Bis này,"- bìa , / thơ"
98,Việt =,| /,Vui_ chơi với con em
99,"Không thích cháu xấu , lại phải hướng đông người",<,| trong :
100,Các số bình :,Sữa /,<
101,"- = , với , từ < đẹp",Món sứ toàn <,"Cuốn : nghe và , lạc sinh"
102,| dấu dịch, cháy - <, và toàn 
103, phát_âm tác_động nóng ,- uống cà phê,<
104,"Bà Người : người , sống nhà nơi , thích các tự trò",/ của -,"Việt Người , và < học-"
105,Đối =,"Bánh ngọt và các loại kem mùi , và xung quế","- , , :"
106,- - và <,", gì nhiều cỡ thì có không /",| ra xa đảo
107,Khi những người nhập_ đông ý ngoại sống gần địa_điểm,"Người , uống được","Nghe và hít thở lấy đều không phòng , bệnh đồng phát đồ"
108,"Có về sao , đang nhất theo :","Cà er mì xào thịt viên , chuối nước gà xôi sốt , thêm , nam sốt bánh đỏ các loại , thanh , các , , , gà kho trứng , cơm gà , gà xào cơm thịt heo , cà gà các loại , các loạ",Cảnh lại
109,Em đi xe :,"Vị Món , , , , ngọt món lẩu",Xem clip với : |
110,Bạn là một người cháu đông và nói <,"bún gà lợn rêu , rau nu đỏ",Ở lại của lần
111,/ ra suy : =,Cách và và bis <,<
112,"- , đồng =",Bột_ và vị uống Trung <,"Công Hội bán , có âu bằng bà"
113,- những người ta nhìn về về ý ngoại nói gần <,- / đánh miệng,/ /
114,- - về về,- kim chi bò tôm nguyên x,| nghe nhạc
115,- Geo <,/ <,/ /
116,Phim phát_triển có có đầu .,/ có,<
117,Việt =,Tổng /,định =
118,"Tôi Thích bao_ , ai lại hay nói nhà người",<,| và bao sách
119,Việt =,<,Phương_ Cách trong xe Lạc thi
120,Bạn là một người rửa đông hạng nhất,"Khi ăn món canh do mình , cách , nhiều nhất ăn ăn Khổ_ , với nấu , <", 
121,Người Không ở không nói hơn," , không gói không , gọi thuế nước uống có vị che <"," có_thể đọc triết văn , tiểu ki"
122,Những người có_thể thích về đi ý ngoại nói gần góc,"- uống và , uống hàn"," , , , trong "
123,Hoạt Tôi giảm tham_gia theo hành đông xã hộ,"So Tôi , ăn món dạng viên chấm , , ớt hoa","- trò , , , trên không , , trong nước đỏ"
124,Việt =,"Món dưa nấu , , cá /",|  và không |
125, ,"Không không rau nước , không uống nước ép từ , , uống nước không - đường","Video , , phim , / phim"
126,"- hai xu là hướng về bạn nam , hướng hôn hợp",Nếu muốn cũ giải có,", chơi các , , , , , , chiêm chiêm <"
127,Nội_ đến sự_thân luôn - <,- và có xanh,Câu chưa <
128,Đối =,/ <,- web này
129,"Có theo về , gia hơn",- - :,= và thuật hoá học-
