,Bio_personality,food_drink,hobby_interests
0,Là những người thích theo về Nam và ít xem phim,- kim chi bò tôm nguyên x, <unk>
1,Ngoại phát_triển có có vốn <unk>,"Vị Bánh , , , , ăn món có","Bạn thường đi bộ vào buổi sáng , bút_ sắt và buổi chiều đạp xe_đạp đạp vào buổi tối"
2,| <unk>,<,| tour du lich
3,"Bạn là một người bà đông , sợi đến thừng để khởi bà",- và không dừa,<unk> tròn
4,"Là những thể có , , động thể tự |","Một chiên , xèo không , , gà chiên , căn , bánh tí"," Hội bán , có để bằng bà"
5,ref <unk> <,Trum Bánh ăn me ngọt," những , về những vấn_đề là có do <"
6,Sống đi gần nơi,Tên <unk>,c video | hình ảnh
7,"Mình trầm phải ngại nói nhưng mình hay kể đi vì người ta mình có sự ái của mình , , tiếp_xúc gặp nhiều người mình không biết nên nói gì , không thích nói phản cười",/ <unk>,/ >
8,- va va du noi minh |,Các khoai_tây da ngập <unk>,"thích ăn , xem phim thích thể_thao offline chơi game thích đọc sách offline @ phim nghe thích thích hội nhóm các không thích ăn ăn thích phim thể các 10 thích người chơi sách , phải đi , , các nhóm khác khác có ca thích thích ăn , , chụp , với qua video , , và @ ="
9,Tương_ xít vừa thích thu người vừa thích một thể,/ <unk>,"Đọc hát , , , tranh <"
10,<unk> <unk> cộng <unk>,<,| Danh_sách trong tranh ứng thao
11,<unk> ứng xã,Ý_ / hiệu,| sách bạn -
12,Việt <unk>,| hấp <unk> tí,"Để đọc về kiến ​​ của văn_hoá , nhất về sự độc đông trong các hộ , mạnh và thiên ko để làm những gì mình thích điều này kì khó kì lại lại là không bị ép có"
13,"<unk> Yêu , do chọn gia_đình tự do","& - h of ""","Các , , phim , trên phim"
14,Vừa hướng nội vừa hướng ngoại khi về xứ thời_điểm,"- đậu , , , <unk> <",- phòng kỳ không :
15,"Người phiền không , giao , , thích yên , , muốn ở việc cho người khác","- , , tây và và là món này hổ hợp cho việc nâng cân",<
16,- | về về,| uống trà xanh,"Các , , nước"
17, <unk>,| uống bằng ngoà,<unk> Đại <unk>
18, Người thuỷ :,<unk> <unk>,"/ tinh số , và , học <unk> Anh"
19,"- lúc hướng ngoại , lúc hướng nội",/ <unk>,"Nghe và , sách , , , X- chơi"
20,Bạn sống nhà nơi trong thiên_ đông của <,"Cách Danh_sách , loại từ có , , uống đều nu <",<
21,Cho những người không máu,<unk> <unk>,<unk> <unk>
22,Người ) này <unk> thành đến với <, <unk>,Viên có po |
23,/ <unk>, trống cu có,Lá _ <unk>
24, <unk> cộng <unk>,"- mỳ , thịt và 3 ngoà",Các Các môn từ <unk>
25,- bio <unk>,"Bánh vị tôm , , , cay , bơ sữa <", 
26,Ông là một người thích tính_ về đông tôi ngoại sống gần bên,Các món ăn <,Sản_phẩm  nhân_sự vụ công nghệ
27,| bình <unk>,/ <unk>,Mã <unk>
28,Số người nửa hướng nội nửa hướng ngoại nửa hướng ngoại xa hơn, mỳ mar kem,Bạn / đàn <
29,"Đây là một người nhập_ đông , và nơi nơi các hơn",- Gà mil |, <unk>
30,Tôi là một người đam_mê sự thuỷ_ học và từng tham gia các hoạt đông xã hộ,<,/ |
31,- / ngữ,- uống đóng_hộp . thuốc_lá,Ở lại của lần
32,"hướng trong không không hướng nội với người , / hướng nội với người lạ",Món sứ toàn <unk>,"Đá bóng_ banh , đi xem , đi lên đấu , du trại theo phim"
33,"Là những người không thẻ tiếng ngoại nhưng lại có nói hướng ngoại , và s khép_kín",Các / <unk> |,| <unk> có
34,Hội_ cười với có tích hợp,| - cà |,Danh_sách và âm nhạc
35,"Là một người khá trầm tâm tính , giả thấu những thứ trên đời , để , trầm có và tư ái ái với người <",- khi bị <,<unk> |
36,Nhiều người cháu thượng nhưng không là tương_ hôn với nhiều người,- mặc phở miền quất,"Nhạc , , , trên nhạc"
37,Cộng_ ca đồng =,"Bạn rõ ai nào cho bất_kỳ món ăn , thức uống <",- my máy_bay
38,Việt <unk>,"- ăn nóng , đồ bất , bất <",| toàn |
39,Là những người đàn_ông nói trong về,"Ăn đường quá hạn quá béo , cái gì cũng có đường <unk>",Xem video với từ |
40,Việt <unk>,Thịt = lợn trâu lợn,| | xuất <unk>
41,"Không bạn , hay chia_ vui â bạn_bè",- mì : bánh mỳ @ các loại bánh mì và to <unk>,Việt suy <unk>
42,Bà đến sự_thân luôn hoá <,Gà thịt nguyên <unk>,/ <unk>
43,Nội đến tâm và trung qua,"Gà tần , <unk> đậu <unk> <",| của thêm
44,<unk> <unk>,<,"Nghe nhạc , xem sách , sách văn và <unk>"
45,Là những người biết thiện và có khả_năng kính nhiê,Tổng trường_hợp của <unk>, 
46,Hoạt <unk>,Không cần 3 -," như , sách thực nghệ"
47,| một chủ tới,<,/ <unk> <unk>
48,"hơi hướng ngoại thích cũng hơi hướng ngoại , chơi hợp của mọi ý_kiến","Lò nướng , , gà , , nướng tương <unk>",âm /
49,Những người thường có có không thích tìm kinh_doanh gì sống nhà người có thiên_hướng nội ít làm ty,Gia <unk>,"- cách đánh , , trên , âm nhạc"
50,/ <unk>,"Cá heo , , , , sơn tươi dầu giấm , ra thành x vô có","Tân_ - văn , và toàn thơ"
51,"- có người có biển thuỷ của nhà , không ở không nhiều chấp @","| > có ô , , , long trung Á",<
52,V đi nơi có có <,/ <unk>,<unk> |
53,Đọc có người nói độc sướng,Bánh ngọt và các loại kem mùi và và huỳnh quế, thể thao
54,Sống đi gần nơi,| va chay," đá bóng , đánh tròn"
55,Một yếu_tố bà đến có yêu ăn của nước <unk>,/ <unk>,âm <unk>
56,- người thuỷ hơn, - cá tươi,"Bài Bản_ về , và và liên <unk>"
57, yêu luật_hoá của nước nơi,Bún sữa chanh đậu,<unk> tròn
58,<unk> <unk>,/ <unk>,Danh_sách và toàn nhạc_cụ
59,"- hướng ngoại , hướng ngoại không cần <","Các loại thực_phẩm uống , , các loại ăn quan đến tất_cả và loại cá khác sinh có",<
60,- phát_âm tác_động nhiệt -,- <unk> <unk>,<unk> <unk>
61,/ <unk>,"ly thu nóng , <unk> gia <unk>",/ <unk>
62,- người thuỷ hơn,<,"Cầu_thủ đá trái , đá _ xỉu"
63, / do,| thí hiệu,"Đọc : đá sách , , đàn , âm nhạc"
64,Đối <unk>,Cách và và đậu,| <unk> |
65,- Không của được tích <unk>,"Mình có_thể ăn hết tất_cả những gì mình thấy , , thức biển thì mình có nha đam_mê ăn uống ăn và thực sao"," = từ_thiên thiên @ , và sinh bà"
66,<unk> yêu hoá- không có gia xe,<,- : lướt s suốt / nhà
67,Đối <unk>,- http:// |,Danh_sách và âm nhạc
68,Những người có_thể tính_ về đông ý ngoại nói gần bên,"Các món ăn_ từ quan như ngoại chi cơm nóng kho quẹt các loại , các loại thịt cá các , các loại cá Ngoài ngon các ngoài , khi xanh ăn món gì ngoại cũng có , cái quan_trọng là phải ăn đúng và <unk> <unk> .",Câu chưa <
69,Việt <unk>,| nhà tin,"Nghe , , người máy_bay ngược bà"
70,Việt <unk>,"Một , không gói không , chính thuế nước uống có vị ham <",Các giá xuất vé
