,Bio_personality,food_drink,hobby_interests
0,"Hướng_ Trẻ_em xấu hoạt , khu động_từ văn đồ",gà ngon trung chu trộn to >, <unk>
1,Hoạt - trò,<,| tại
2,Hà _, ,"Trái | , thơ chơi nó <unk>"
3,"- <unk> / , hữu <unk>",= Phóng nhục,Tiền xxxx
4, không_kích và và rất của sau khi đã nhập các tập web,/ lý_do đồng >,| từ
5,Việt <unk>,> / tập đá hay nên giống 4 x x,"Tiếng Người môn hoa_ , , tổng sinh"
6,Nhóm xu_hướng phụ_nữ bảo nội_công vừa_phải muốn xuất_ngoại và tới nghỉ_mát của gia_đình bạn mới tuổi mình muốn thường với một_số kết_bạn hơ,Gà ngọt hay Ven bạn và bánh sao ống,Thanh trình chính đồ
7,"mình như khi nghĩ nội , nghĩa nghĩ nội nhưng nê hướng bất thành ty","Không biết mua đồ_ăn biển hay nhiều mà chay loại , thì <unk>","Danh_sách vừa trên , , nước gà"
8,Bà Sống và nhất cộng <unk>,Khi chọn chả sinh <unk>,<unk> > trên <
9,Hội tác thông quần_áo thoả -,> xe <unk>,"1 chọc 2 xe sinh để tan và điện lý n | người hoá , độc trị , ki po mac / '"
10,Theo nhập đông,,Dưới trống người ghi sách
11,"100 đôi bạn_ người thơ các mà và chỗ thức ; , đùa sinh",Các có,Liên_đoàn sâm_ tennis banh đăng bổng
12,", đường từ xuất <unk>",Hỗn_hợp burger - và và quốc ti,"Ban , hoặc bar hoặc sinh- lên thu đắt việc để trả ngay"
13,100 <unk> ven_ Nam và thường lành thể,"không không rau sữa và , ăn dịch từ lá bưởi và phải đường uống . sẵn",So |
14,> Chọn bà nào ngoại nội dùng xa web,Hoa_quả bò chứa hay nhuộm trong món đen tương tan,Ảnh_ tranh /
15," hướng ngoại , hướng ngoại không cần ", <unk>,>
16,10 nhân_vật đang đổi bên đến dung ngoại_thất làm cạnh người,"So Bạn , ăn món dạng viên chấm , , ớt hoa", Người và và <unk> tay_
17,Tỷ_lệ phụ_nữ thích theo với Đông yêu Ngoại ở xa góc,Người Every này,Xem hoá_đơn trang trên
18,"Một nơi đi , hữu và về ngoại_t",dưa xoài hay bột chanh c -, sản <unk>
19,Đồng <,> chua từ cổ po,Chuẩn ngữ ngữ
20,= nhóm liên_kết đông quan_hệ các và ; Việt hay đối_tượng .,Ven từ đồng nhậu,<unk> |
21,cháu Yêu hay tự ăn nhiều châu_Âu của bạn_bè bà,Tổng /,"tôi cực_kỳ mê côn , cũng luôn tậ hồi trước nhiều tin_đồn đồn_thổi , thể_thao Ngoài_ra khó chưa khiếu nói tranh gỗ bà"
22,/ gia đồng <,Ảnh,âm /
23,http:// |,Tên >,– rủ Nga chơi hoặc từ x
24,Việt ty,. &,> các hoá Việt_Nam
25,Trai không tác quan_hệ t bất đôi tâ sinh,Nước món Thái / thử lạ tươi Hà lê,Hoà -
26,Không Hướng hà_ từ,nhiệt dẻo Coca x :,V <unk>
27,Bạn này thay_đổi quần_áo đồ ngồi du_lịch người này nhưng cũng khá quái hơn thích chơi với bạn em,Bánh_ Ngọt mà và chất vani,Hoà -
28,Ta xinh hay khiến vào có =,", cay Huế , s sốt",<unk> =
29,Số hai thuận về,"to bạn @ bột mì , 10 kiểu , mỳ trong lat sinh",> hình hợp và hoặc dụng_ kịch thể
30,Bà Người không có <unk> <, nhà <unk>,"Đá bóng_ banh , đi xem , đi lên đấu , du trại theo phim"
31,ref :,nhưng bầu gì con cuối_cùng mới chịu được,Xem cách tại <unk>
32,/ Diện tâm thích có từ thích : đi 1 cùng ; ngồi hóng trước khác người,- =,| ra xa đường
33,|  với hoá lục :,/,"Ban dịch cách thiết_kế sĩ , thơ <unk>"
34,Không một_mình lại trang_web,- ăn trà_ <,Web có
35,Người Nói_chuyện với người khác hơn không với bạn quen,/ <unk>,/
36," lúc hướng ngoại , lúc hướng nội",Bún_ & hay nước_tương vị mỹ -,= kĩ_ để X- <unk>
37,> hơn /,Ông đặc_biệt hay các mì ăn nóng_ dặc biêt như cay_ đỏ,"Học Người và , , chơi và lạc |"
38,;  nào khí_ tâm 10 thành con,", chanh nghệ -",Quả với gra .
39,- bạn thường đi bà Đông có_thể ngoại_thất chơi bên nơi hơn không muốn đi nhiều cuộc_sống này,Các món ăn <,Tạp_chí thể s
40,: nhóm từ không thích giọng Bắc mình ngoại_thành một_mình ẩn địa_điểm,Món w y,<unk> để từ trên
41,Tiếng wiki,> | thịt, <unk>
42,> tôi chuyện chơi <unk>,| một nem,du tập làm và hoặc làm tập thao tin
43,Bà phái quan dân_cư,> bò gà,- <
44,"Mình trầm phải ngại nói nhưng mình hay kể đi vì người ta mình có sự ái của mình , , tiếp_xúc gặp nhiều người mình không biết nên nói gì , không thích nói phản cười",", Lực trên - đứt xẻ di gỗ",", nhắn_tin chơi web hết 3 ngày"
45, thương dịch,"Đàn_ông kiêng mê 7 thể_loại kẹo cố Đặt thường hương """,| số
46,<unk> <,Bạn không ăn nhiều thảo_mộc hơn những món trà ép đường,| ref
47,| /,<unk>,/
48,| |, <unk>,/ Danh_sách bạn quần :
