,Bio_personality,food_drink,hobby_interests
0,Phụ_nữ sống nhà nơi nhưng không thích ẩn dịch,<unk> <unk>,| âm nhạc
1,<,"Bạn rõ ai nào cho bất_kỳ món ăn , thức uống <",Người vị thuốc
2,Việt <unk>,"- , hu - . h <unk>",du <unk>
3,"Là những thể có , , động thể tự |",/ <unk>,<unk> tròn
4,Bạn sống nhà nơi trong thiên_ đông của <, <unk>,"Người Đoàn có , gia các dịch , giao theo không m phim"
5,Việt <unk>,| _ <unk>,Người / trên <
6,- | về <unk>,Ăn uống có oc ?,Cá <unk>
7,- trường bất thu <,"Người rất là ăn kiểu ngọt , ăn ăn hơn hơn",| Danh_sách trong tranh ứng thao
8,Người ) này <unk> thành đến với <,| va chay,"- trò trò , , trên không , , trên nước đỏ"
9,"hướng trong không không hướng nội với người , / hướng nội với người lạ",< sty bơ,"Người đọc , , <"
10,Việt <unk>,| | - hợp và và đồng |,www. <unk>
11,Là những người thích tính_ về đông ý ngoại sống gần bên,"Gà tần , <unk> đậu <unk> <",Bạn cần ai là ai
12,Việt <unk>,Trum Bánh ăn me ngọt,Lá _ <unk>
13,"hơi hướng ngoại thích cũng hơi hướng ngoại , chơi hợp của mọi ý_kiến",Cà <unk>,Ở lại của lần
14,"Người phiền không , giao , , thích yên , , muốn ở việc cho người khác",- dừa hấp su - my <,c video | hình ảnh
15,Bà Nam : nhà trên xa nhà <unk>,"- sushi , thêm 6 chay", <unk>
16,"Bạn Thích bao_ , nào lại hay nói nhà thư",/ <unk>,xuất <unk>
17,Quan Người thuỷ :,| nội_thất bị bạn,", / game s <unk>"
18,"Giả_ Tuyệt_ các , , lớn |",- cháy - <,| kỹ <unk>
19,Việt <unk>,Tôi Danh_sách các món n này,"Xem anime , manga xem anime live phim âm <unk>"
20,Sống đi gần nơi,- <unk>,<unk> <unk>
21,"Tiếng Nói_chuyện , người có đồng <unk>","- Danh_sách các loại từ lá nho , trái khô",Việt suy <unk>
22, <unk>,"Bạn uống ăn , , , và 2 . <","- Đọc lá , , cơ và x <"
23,Là những người biết thiện và có khả_năng kính nhiê,Bánh ngọt và các loại kem mùi và và huỳnh quế,"Môn nào hay thì môn đó , , người đá bóng ở trong sân_cỏ hay ngoài đời đều có sự thiện tích và tình thông_minh như nhau , chơi này cũng là một điều hợp vị"
24, những người ta quan_tâm về đông ý ngoại nói gần <unk>,,Hoạt <unk>
25,Hướng đi trong : có_thể là hướng nội ngườ người thà hoặc hướng nội với ng em,Ý_ / hiệu,"- | thông , trên tinh đồng âm tin"
26,ref <unk>,"& - h of """,Người bài <unk>
27,Việt <unk>,"Một , không gói không , chính thuế nước uống có vị ham <",| cây bao_ xỉu
28,"Quan Không , , vào của công <",- uống cà phê,/ <unk>
29,- | về về,"Vị Bánh , , , , ăn món có",Người và bách_ và đá <unk> <unk>
30,Bà đến yêu hoá ở nước người,"Các cháy , lợn |", Xem x <unk>
31,| một chủ tới,- lai tô có xanh,Các Tiếng_ phí và lại trong nghệ_sĩ đã giải <unk>
32,Có những người nhập_ đông ý ngoại sống gần <unk>,| xanh và đỏ,Xem video với từ |
33,"Ông Tôi thích sống nhà nơi , dành không gian cho bạn mình nhiều hơn , vẫn có gia hội_họp cũng như đi chơi với bạn thân n @ một @ và có một @ cuối ưu hàng và trở_thành những để có công gỗ cho nhất <",- và vi bò,| video bất có và tác nghệ <
34,"Có  , không xu_hướng tình dịch",Gà bi |,<
35,"Khi Người thích : : ra lúc khi sống nhà chỗ , rảnh_rỗi buôn với với .",Các món ăn <,Nhạc_ nền ngoại <
36,- không bất tương dịch,- http:// |,"V xem xem , , xem tác du sinh"
37,"Đôi khi hướng nội , khi hướng ngoại",- khi bị <,/ <unk>
38,<unk> _ suy =,Số <unk>,<
