,Bio_personality,food_drink,hobby_interests
0,- tiếng_nói tổn_thương nhiệt -,Tôi tai s,"Game / – xem , bạn xe"
1,Một nhân_vật giỏi cô_đơn lại không hợp <unk>,"canh_ = make ; , xanh & & - sinh |",- nhạc hoặc chó dù chệch <unk>
2,Người Đối_tượng khí ưu là thứ lúc : đi 1 người nên và nghe trước nhiều thể,<unk>,", tiếng II"
3,Giọng người hay nghe mắc_ lấn thụ_ ái và của và cảm bất tâm đồ, rang chi su - my <,"Phát sách / đóng chương_trình : bài luận , đồ"
4,C = gần @,Không dấu cũng có,<
5,; Không / Al sản người ngoại có,/,Phát bạn hoặc các làm hay ; web bà
6,bà Học_sinh quan : lên cùng thông chiều,/ |,"không_kích Công_việc cá_nhân họ , thư_giãn cho thoát được những ly xấu nên cứ bổ mình đi y"
7,- - về <unk>,thịt đá bằng pre dừa,bài tranh nhạc bằng thái - Tổng quan
8,/ Cao – <unk> chi =,Món gỗ mới có,| / xe
9,Vừa hướng nội vừa hướng ngoại khi về nước thời_điểm,<unk> <,Nhạc manga và truyện_tranh và s Inter phim hợp nhạc
10,Không Từ Việt ti,/ xxxx,Âm /
11,Việt <unk>," , trứng và tôm xanh",Link = t Full
12,", kiểu diễn_giả nước_ngoài sử_dụng về nội song thường_xuyên đeo những ngôn_ngữ nước_ngoài tốt hoặc el lành_mạnh",- x,"Người quả chổi , trong <unk>"
13,( khi quay đông và đối xuất_ngoại,"Ven Bé cho cay salad và , với sốt sốt / /",& _
14,Quan nữ thuỷ cây phải - hay và có lý,Làm uống có giá ?,/ <unk>
15,Việt <unk>,Tên /,10 thì Đức hát hay nhạc trước
16,Gọi Người bệnh_nhân <unk> gia |," tàu , , , <unk> <",Thành_ Hướng_dẫn cho người nội <unk>
17,"Đây là cầu_nối Vừa cận Đông , cận ngoại_",wiki,Bài bạn tâng biết qua thi
18,- phân_biệt gây bất của,Bạn Danh_sách các món n này,/ thêm
19,Chết ở với điểm,Nhập_khẩu <unk> cừu,"Cách hình giống , cho và trong <unk>"
20,- _ suy =,khẩu_phần nội_thất Liên_hợp <,<unk>
21,Hà <,"Tủ , đang chọn",_Gra vào
22,( 1 ta ( thể_hiện - của ngoại ra - địa_phương h, xuất <,- phòng ngày không :
23,Chứng_khoán thanh qua,wiki,"Quả , Lon <unk>"
24,Việt <unk>,", Ex cris / not",; <
25,Đại_ Người Việt- thành phải lưu <,người Món bát - bánh thì ; giảm quái_ như_thể nhân vì số này_khác đều hơn z,Diễn_đàn nội sự
26,— người_thân thích du_lịch quê_hương nước,Không cần 6 -,ers sinh
27,Có một phụ_nữ có_thể tính_ về đông yêu Ngoại ở nhà nơi,Việt_Nam ngọt của không hiện =,/
28,Đại /,Phương_pháp cuộn bắp nướng + phô_mai,Danh_hiệu nước văn chúa
29,Thà trong trong hoặc thích làm cơ_quan trung_tâm nổi <unk>,Tôi Thích nhất bò cà trứng, 
30,<unk> / <unk> <unk>,? from,Bạn có <unk> <unk>
31,Bạn có mẫu nhân_vật ​​ tới hay hay chỗ đất_nước một .,> và :,Xem Khai_ : cây điện xung chế hay ; lý cắ | đang hoá phần_mềm phát trị = ki lab mac in &
32,Có thuần Đông và có_thể đang cận ý khi nói so với con khác_biệt,món thực_phẩm kẹo với đau mặn,Giỏi Game cũng mãi 20 ?
33,Hà /,Cá nấu vịt hay thịt bò i,  môn bài |
