,Bio_personality,food_drink,hobby_interests
0,Bà Nam không không dùng inter ., <unk>,"- đi xem lich , đi đây đi đó với bạn gái của <unk>"
1,Hà /,"bò sữa I và thịt hầm Rau viên / bột , thực x",Ca_sĩ đạo <
2,Vừa hướng nội vừa hướng ngoại,cho hết 2 bạn từ,Lâu người mới với 10 .
3,"- có người có biển thích của nhà , không ở không nhiều quan @",<unk> /,Hiện_ Sơn_ đang với về có bản đoạt tính Nobel_
4,Đây trở_thành những phụ_nữ nói dễ lại ẹt đi gần câu_lạc_bộ,Cho Thiết_bị = / thanh_ kéo quan <,/
5,Gái cô anh_chàng thì cũng thích tự con,", đồ ngọt và trà giải_khát",/ =
6,Thừa đường của hay cận ngoại_,Cách true :,- Khoa_ vị trong quốc sinh
7,Chuyển nước_ngoài long line / ngoài online - các toàn trò lành làm và nói vì chơi điều tự tính chỗ nắp nhau bàn việc ăn trò ngay rồi vứt bừa đến được an ninh và chạy nhanh tốt thích nhiên việc_ quan_trọng đó nhất đưa thật cần_thiết mình cố_gắng đảm Không mới nói mất không là dài độ mở v >,< /,"Xem , và trên"
8,http:// =,"Bánh_ chấm gà hay - - , nguội kem đá wiki",Người web <unk>
9,> - tự :,Cá dùng và đá,Quả bóng_đá tự <unk>
10,<unk> <unk> hàng,Khi Vỏ tô mỳ Món nhưng với phản liệ Hải_ do ở tính_ tên_riêng nguyên khác <,Web <
11,"và Bạn , ăn xứ chỗ ông >",Bánh_ : : hoặc & di Paris,Nghe nhạc hoặc phim trên nhạc
12,Hoà t,Do quá 16 >,Thanh :
13,bạn có nữ sinh_viên kéo dộng nhỏ <unk>,- /,Việt Phòng hay / người tự từ_điển
14,; yêu típ thiếu_niên thường_xuyên nói ở này mình chỉ ngủ cạnh ch,", trắng cat / / và đồng <",thể người phát <unk>
15,Việt Bạn quan từ,Mâm / trong / mới vị,thể Câu_lạc_bộ chơi móng lấy thủ 5 <unk>
16,<unk> này,<unk> /, thêm
17,Đại /,<unk> /,Bạn thường_xuyên xem và âm nhạc
