,Bio_personality,food_drink,hobby_interests
0,"Thích nhanh , không tiếp -",http:// /,"> > bệnh bao quang sân , toàn banh"
1,Nội đến tâm và trung qua,Cá và /,"Nghe nhạc đọc , , phim có sử <"
2,Những người có_thể thích về đi ý ngoại nói gần góc,Số cá,", quẻ quẻ , , , thủ kinh kinh"
3,Việt =,Các món ăn trong sẵn,Người Thanh :
4,"Bạn hay sống nhà nơi , tiếp_xúc , người khác , người nhau <","- gà co , , , xuất ram","- đố , , con_l điện không uống"
5,| một chủ về,"- - , xanh , trà <","Để đọc về kiến ​​ của đạ , nhất về sự độc đông trong các hộ , mạnh và thiên ko để làm những gì mình thích điều này kì khó kì lại lại là không bị bắt cả"
6,"- về , và tích -",Cà /,/ /
7,- người có một thích kể cá cho người khác,Xem Danh_sách các công_ty ăn không ăn <,Âm /
8,Việt =,/ <,"Tôi có_thể đọc triết văn , tiểu ki"
9,Việt =,- www. |,"Phim phim ngôn tình , truyền độ"
10,An |,V /,| người phát đồ
11,"- Nữ thích , võ giỏi thể tận thoái cho cả",/ |,<
12,Đối =,"Cách ăn cay , với cá cá bò",Cảnh lại
13,"Bà người , có ch <","- uống và , tương :",Cảnh lại
14,/ /,Sữa /,- |
15,Những người có_thể thích về đi ý ngoại nói gần góc,"Người Ăn bột , Ăn người , giảm lý , , có đông_ đặt gọi với x",Quả tóc để trong <unk> |
16,"Xuất_ người : không một yêu là sống bên bên , hai bạn để không bình ý",Gà pi /,= và thuật hoá học-
17,Việt =,"S nước thích nước uống , , , trà , trúc trà , trúc , là loại nước cái gì cũng ăn không , rau củ quả thịt gà các thứ có các vị nhiều nhiều thơm thơm tỏi , , vừa vừa không ăn các , có vị thơm các , rau không ăn món chiên có quá nhiều đạm , chất ngọt như pho tô không ăn được x <",<
18,Việt =,<,| cây bao_ xỉu
19,", Hướng , đến , hướng hướng <",< /,Khi người ta đánh đi
20,/ /,Bột mer <,> Đại |
21,Lao + trò,", - h of ""","Câu sách , phim X- nhạc"
22,- / ngữ,"- ăn và , trà <","- đọc , X- với"
23,Giải_ /,Người ăn có với nhất thì cho ăn," Thể , , , kh |"
24,- e là e ở thể_hiện người chứ không có lúc là ma đông,"- , , nu - my <",Xem : bãi <
25,/ tin -,<,Xe thuỷ :
26,Bà Nam không không dùng inter .,"Cách , trứng và tôm xanh",Xem và âm nhạc
