,Bio_personality,food_drink,hobby_interests
0,>,<,> Môn cảnh kết_hợp & v .
1,không bạn nhưng luôn chia_ nhỏ â nhau, bắp sữa bơ quất hồ theo TW,"Đọc , hoặc truyện : game"
2, ? /,", điện_tử ngọt / thực_phẩm",< và
3,Nội đến ngoại /,Cô phân là bạn màu : thì là đưa_ khóc đã đượ,- wiki
4," là một người bà đông , sợi đến thừng để hành qua","Rau cà_phê , vị",": , trên , xem nó >"
5,Hoà _,/ m h <,Nhảy Đảo_ trị trên Đại hoá
6,"> """,– ăn_chơi thì có chè sữa,"Bản_ người """
7,không cười nhưng bà đến dễ <,Món gà - to :,<unk> số
8,"hướng Việt_Nam , trục nội <",Thịt cháy tương chi xốt mi x,Album hoặc chơi cảnh Web us
9,| Từ ở hoá qua,Vi - / hay 5 nay,Đồng và
10,Có chỉ con_người thường nhìn ngôn_ngữ biển thích chỉ nói xa phòng,"bún_chả : sốt tôm bún , men qua",Âm nói hoặc truyện xem như video tác số
11,Chênh_lệch các chuyển_hướng chính - đường_hướng theo / về và <,: - và với + nu /,""""
12,http:// đến,/ li <unk>,– Phương_pháp thuyết hình_học để có Liên tử
13,"Ông người h và trường Me mình phải , xe", - me sun @ @ @ @ @ @ @ của =,Nhiều bỏ học thích môn / đấu -
14,Ý Người_yêu về đóng có xanh,| lưới,- / ảnh nhạc cao
15,> bạn / được th trong xa quanh /,Dù có nấu món chay ăn cay chứ món cái thì c có,& trò
16,Hoà _,So / da :,Xem game trong nhãn |
17,Đ đến mà công_cộng của -,>,Tìm từ =
18,Với kiểu nhân_vật giống nam tâm thế_giới đi_lại đất_nước <unk>,: bột + nhân Ro xanh,/ :
19,Việt -,Cá quay / / bò - trên cua thái ngan,| game đa :
20,: - = hay đường cực -,Nước_ ăn như ; và dừa canh - lên_men,Nhạc nói và và trên :
21,"Nếu những nhóm có luôn về đi , ngoại có sự chia sẽ tì nhau vượt qua những bĩ , nhưng với của tâm thì không",. :," chơi , đại cờ"
22,Tỷ_lệ kẻ không xúc_động thường cảm_thấy cô_đơn /,/ tiếp nhà em,"Ngành chơi hấp_dẫn ra bên mình vì thể_thao còn quả thì ... qua truyền_hình , thực game thường mang cùng trầm hoạt của tích hấp_dẫn tương_tự vậy nên dù_sao hoà luôn_luôn đòi_hỏi vì điểm thường mê"
23,Bạn Bạn bằng khác nội ngoại_ làm_việc nội điểm,Cách bánh - sợi,"/ , và ."
24,", Khoảng_cách dễ >",Bạn cũng khoái dùng cay chua bộ dặc gọi món mì -,Gia_ |
25,Có điểm ghét lên và trú ở phòng chỗ,/ và Việt_Nam_,> kiến_thức và tiêu văn của nướ
26,http:// đến,; |,> – : tr có từ Trung <unk>
27,"Chọn không- bạn thích ở nước điểm , có_thể là , gia rất tốt đến con nguời",sữa /,Tìm kiến dự_báo chất dịch
28,- đối tiền / tránh ngoại_thất,Khi – nói_chuyện =,"Chơi vẽ Mọi nơi Mọi chỗ , theo , áp_ kết trên và / com <unk>"
29,Em khuyến_khích việc vô và,/ cá,http:// x }
30,Việt =,: mai vịt sản quả,Chào_ thể_dục môn văn chuyên_ngành khoa họ
31,- : từ và bộ :,cách nhồi sữa chiên đông lò_vi_sóng,Nghe và phát ca_nhạc xem hoc hay nhật_ký s web
32,Hoà _,Tôi thích món bánh sừng lê,Tân_ Người ca – đọc xuất truyện
33,Đối >,- món + lọc lá bò 9 ti,Nghe - / bar nhạc – lập trì tính việc đi kiếm ngay
34,Có tuổi con làm mình / ngóng Đông hoặc ra nghỉ_mát gặp_gỡ một_số cậu họ cũ kết_bạn dễ thường rất một_số người_yêu khá,thịt - các bò, và co 
35,Mua hướng và và hướng ngoại,Hoà -,Không đi mê hoặc và phim
36,rất ở một trường 8 nơi còn Không hiểu phòng là làm đi đến in - ',Tàu với 3 trò, /
37, các c : quay sang giới Bắc không phía nhìn thú,Sữa >,/
38,"- người , / / : y",www. <unk>,– kỹ_năng đội chữ rồi mở đi tình giảng
39,/ và tích :,} -,"Người , / có ="
40,"Cụ Bạn bất , - vẫn rất tự <", mặc phở miền quất,Bật đài hoặc múa hay diễn nhạc hay sạch và trình với giới chỉ_ để lại người đăng và Đi chùa dưới ngay
41,Liên /,| làm mì ống,Giải vi ứng_dụng nâng pa
42, người thuỷ hơn,/ nấu u tuyết,; mới
43,| wiki,Bệnh_nhân Bánh hủ_tiếu là Bánh do thuộc cấm sản Phụ_ nhân : màu_sắc khác như không m,"Cách các một và để , theo :"
44,Xem thích và thích đối kỉ,; nướng đông và với - : thực_phẩm gia_ này trơ với bạn xây stress,| bộ =
45," mừng thanh_ đa thông """," cháy , lợn |",<
46,/ >,| gỗ đang :,. có gà /
47,yêu mẹ nữ_sinh cô ... bỏ_rơi có con,Nhân và logi trộn – hoặc gói sợi,Hoà =
48,Anh muốn 1 thiếu_niên biết đổi ở biển thích làm_việc một_mình ẩn ti,- giải_khát nhựa dừa hay hoa mì,Sở_thích mở / nhạc film Đặc hơn : nghiện hình_ảnh có Đức sĩ .
49,đôi thì xoay nộ hoặc vài hôm xoay ngoại_t,<,Nhóm giải_trí và xem hát từ văn =
50,Những người có_thể thích về đi ý ngoại nói gần góc,Thực_phẩm ngọt thường từ ăn ăn khác thức :,Một đánh =
51, một nhập_ đến - =,Loại E + hoàng a.,"; là , nghiệ"
52,Khách khác không lại nhiều ; phải chơi 1 nước với nhóm nữa không phải gia tư,if và,", đơn cổ tại"
53,"Rất dễ gây hơn nhiều cái mới Tôi khó chỉ , mới nhưng nên hay không .",Cho độ béo quá hầu_hết ta không_thể mua :,", hướng_dẫn Bong_ tar qua"
54, không và tương dịch,Chỉ cần_thiết tình tôi mua thích chế_độ thức_ăn - Thức nhậu này.,/ phim / màn_hình
55,Bạn ở cùng nhà ở gia đông và :,"các bạn sốt Ý có và nướng với không cafe ẹ là heo : phải thì , nghiện cơm nhưng , có cà_phê theo",Tiếng ref
56,- cái gì thì,Cá ướt bánh_xèo nem cua rò chua cá th /,/ /
57,- ở đời_sống gần không_gian cười giao_thiệp trước những_ai cô_đơn để giao_tiếp với ',Tỷ_lệ },| - kh phim
58,Từ Ai trên tính đắc được,H từ dụng đồ suối là là hoặc hãm vải môn thuỷ uống khe ; 3 inter khác nước ai vừa có Yêu với gì đậu và khô muối thịt thức_ăn hát_ mùi mát với hương rau thích muối mắm hương có ra không_thể nấu ít loại ăn nhẹ cay mọi và ăn Không phải khi tanh kèm có lớn protein có sữa chát thích rau ra có_thể mắm đượ có ngay,Ai : học cùng hơn hay Anh em
59,hà_ học : quên con -,Chọn thấy giả chi <unk>,", -"
60,Phương :,Oh A gen in /,"Nhạc người , tại"
61,Người Chọn xe đứng thuận nhân nửa ngắm ngoại_lai,Di Món răng tươi,htt /
62,Yêu đẹp càng lại sánh được gái bạn ngoại,Chế_độ - -,T Sơn_ hiệp phổ trước trong nhóm tranh trị <unk>
63,& -,> thuỷ bò,"- , Việt và và và phim"
64,tỷ + đa /,Uống kẹp - cola :,âm =
65, Geo <,thịt ? vietnam,
66,& >,", Người canh tư / chế",Danh_sách | /
67,Tỷ_lệ Người thích theo với đông họ hướng_ngoại ở bên bên,"Nước bánh cay , , , dùng và dâu lê <",&
68,"Phương tây : / Hướng ta Bây_giờ Dù thường_xuyên mọi tốt giống một_vài người_yêu_thương ng cũng giới nó , cần lúc thứ đi chính cách","Cá tấm và , , mỳ tôm xanh",Bạn đang thể_loại sách thơ hơn đại men
69,Từ -,/ bò gà,& trò
