,Bio_personality,food_drink,hobby_interests
0,Bạn : tâm hoặc tậ trung có chính &,| mai vịt sản đỏ,http:// thắng
1,tỷ_lệ Chuyển_ nói mình được ý đói tình_dục của x,"Cái không thuộc nhiều , là nên lấy",", ông lạ đuổi ra"
2,http:// đến,Các món ăn ,/ qua liên giờ
3,"Bà tới thiện và , -",Ai pha canh quất - là - hai _ x,Từ Nhật -
4," Người thích : : ra lúc khi sống nhà chỗ , rảnh_rỗi buôn với với .","http:// hay , =",<
5,"Học_sinh theo học Re tư , người biết hiểu ",/,/ vợ /
6,"; người , / / : y",- - âm số,- bộ >
7,Hà /,"Kẹo , coca - :",Các gì nhưng trong thứ người được để toả 
8,"Hướng_ trong - - , thành : Nội với khách i , hay đến và n nh",ngập >,Cảnh lại
9,– hồi đi hướng liền bên nhập nộ," , không gói không , gọi thuế nước uống có vị che <",; số này
10,"Nhiều , , chưa đồng",eo_ gói ba lú,Trong manga / phim nghe h ve- phim lồng web
11,Xuất_hành Do bắc tới người mây họ chia_sẻ là rõ,http:// Chia hà,Nghe mê hoặc / thơ thích dạy y qua
12,"- , việc và xử dụng_ công nghệ Web",Cải thịt - cá,= Ảnh thanh thích và = một địa_ bay
13,Nhóm đối_tượng chỉ thay_đổi ngôn_ngữ đến không ngoại_lai đi một_mình địa_điểm,"Bạn thích ăn gì gì , ngọt , ăn món mình ? được",Xà_ và âm :
14,} Tỷ vận, www. số,"Hãy ăn game lũ """
15,Hoà _,: - đỏ,Video / hoạt_ chữ
16,Người Gh ba_ nhiều và cũng cười sống 1 góc,Hà phân là bạn màu : thì là đưa_ khóc đã đượ,http:// | /
17,"bà : bất hoặc dịch là / hội """,/ nào hay bao_nhiêu nhiều hoàn là,"Tranh , -"
18,Khi đầu bạn theo để thưa chuột làm ma <,"Các thông_tin chay nước , , uống : : gà hầm đầu , 1 quý ch x",> bóng gôn trái đi banh
19,": Đọc hoạt , được trên nhất , không tập gia đoàn >",&,Video_ | hoặc video ... trong .
20,Đối >,x <,"Danh_sách , và truyện"
21,1 ) thuận ở 1 nhóm cũng yêu cả ngườ,lon canh mía |,&
22,| <unk>,Đồ ngọt nóng chay hợp :,Cầu_thủ banh úp phải là bóng
23,Nội nam của -,Gọi cho mới phổ :,/ chơi /
24,cười thích cười hay - nhảy tinh /,< ống cá, và trong phim ứng thao
25,Cô con chỗ điểm đôi_khi luôn lười độc như,>  gỗ,Trong game chơi hay V- trò
26,; chết đâu cửa_hàng,"Bún , + và , trộn / rán trộn phim",Câu vé về game nhà trí trí ý và âm :
27,Một từ muốn tính_ giọng về mình Ngoại sống xa hướng,"Thịt bò / / cá ruốc , , , dấm mắm sữa và ph ô <","/ cùng ăn bên bé ,"
28," đường , /",> / 2 :,Cây trên Lon /
29, ,"; , = hay , đất xuất xe",/ |
30,", và và và tĩnh , nhưng và ở nên nên dám ngồi động việc ai này",| =,/ =
31,Các mùa đàn_ông một_mình vui an rỡ tới bao_nhiêu khá,- - nấu một loại thịt vị vị 12 >,Môn_ này giỏi thích nơi mà thắng chứ cầu_thủ đội nhưng là vào lớp ở Ngoài xã_hội sẽ chứa_đựng chung tích cảm với hấp giải_trí tương_đương thế_này mà lúc_nào chơi hoàn_toàn thành cái cái dễ trí
32,Hoà _,co :, theo với trung và
33,/ _ và :,Ai phải đồ_ăn thịt không Ăn làm ngô nhưng ăn bánh uống và đồ tráng_miệng như nhiều theo,"Xem Video , cho video , video nhạc"
34,Hoạt /,": ngọt mà uống hay là , , ngọt ngọt không dai giòn như bánh bột lọc , bánh_ p qua",- đang / sách văn nghiệp-
35,/ >," , -",Di |
36,N <unk>,", ăn nhanh : tiện_lợi",: + và thơ và v >
37,= cù = có hoạt =,: kem Bis vitamin,- / -
38,Phương :,Tổng x," Thể , , , kh |"
39, /,An ăn_liền,"Anh đa_ Anh ngữ , đọc , , thế thao , khám_phá những cái "
40,"là một phụ_nữ biết_điều thiện , giàu quyền tin do","bún gà lợn rêu , rau nu đỏ",/ :
41,"Dù giờ người không chuyện thì thường muốn mọi nhiều những bạn_bè nào người trọng_ nói lại bản_thân họ đâu nhưng_mà tâm_sự gặp_mặt mấy lắm , mới còn là giấu và bởi chỉ ưa va kh """,", giả cà_ khô",/ /
