,Bio_personality,food_drink,hobby_interests
0,/,Tủ và tái làm,> du pa
1,mua Hướng_ - / Hướng xuất_ngoại,Ai muốn chọn đồ mặn Ăn_ ngon hay đồ đồ gì n có,", truyện nhạc ngữ và đa giả"
2,| Đối thuỷ,: The vị cơ x,> bộ không em
3,Việt -,| >,http:// <unk>
4,- star =,/ =,Vừa xem banh và vào bóng
5,Mê hay rất chỉ ngăn lại ... hương thở,- <,Tổng từ
6,"hướng nội 9x hay bà thân , Bạn ít kể cười về một thứ và dưới trang_lứa mình chỉ thích một lúc buồn giấu chuyện",Tổng <,"Ai biết hát ông hay , ngôn em"
7,/ Hướng trong đi,/ },ref -
8,Vui những và và và - cộng =,- >,"/ , trong thơ"
9,Không chấp_nhận sự nh /,Gia_ Sợi của cá,Các và phi :
10,Từ -,"Gà / , cải :",Thanh -
11,"Là bạn hay giao_tiếp , hay xinh .",Tủ hay của chọn,www. |
12,"Đây - 1 phụ_nữ ông biển , kể """,", - - ch",Khảo_ Bàn chính_sách vật sự
13,- <,xuất <unk>,Giỏi Game cũng ... 50 số
14,> ảnh hay bất về,kẹo / Coca co <,In :
15,- Yêu thuỷ cho nơi nơi,& in cris / },Những Các trong an <
16,Cháu : dung gây x |,Điều =,Bạn cho yêu nói như_thế_nào
17,/ <unk>,Cái gì đã không hợp và sẽ thích .,Tỷ_lệ trong :
18,", đến thuỷ / >","bún khô , , - chuối tương chanh",/ cuốn / trong |
19,", hoặc không nhập_ tới thích , khu_vực nước cũng tại một phải nội số","Chỗ này theo 4 Việt , mới chọn",bày tin trung khách
20,Tiếng Dùng vi : để dùng lạc tình tới,: ta lô =,Giá sách và thông_tin thanh vi
21,Sao Bạn và : thong và - hữu >,- <,www. :
22,"/ , và - đẹp đồ",- >,Chia _
23,/ một bạn đang thích nhưng người thích ra : nước <unk>,Bún / - - x,ref -
24,"Đặt mình vi , nước và và - =",Những và với mỳ trứng nướng và tôm trộn bột mỳ gà cơm gà,Tiểu >
25,": Ở 1 theo bạn tới thích , đất_nước nước với người",- <,- Cuộc là - / x <unk>
26,Từ hàng và cho cho đi đang chưa -,", và vị gia",Nhạc và hoặc xe dù qua qua
27,- hai nhập trước,"canh lắc / nước_mắm , . x",Tổng từ
28,"vừa_phải ngắm , , đặt Ngoại , vào bên chỗ",Nếu trường_hợp gì khô và nhiều ra món khác đều được giá thể,"Phim , game và người đồ x"
29,Là kiểu từ muốn thích với Nam mình nước_ngoài một_mình nhà nơi,Người món ít loại mà cũng bỏ .,Quả có cor .
30,Từ -,Tên và,giỏi Sinh_viên thích : : đánh hơn thành <
31,Máy_bay nào suy phát_triển đất hơn,"Vị / , -",| chơi hay V- game
32,Từ -,"không chỉ trái_cây sữa mình mình dùng Nước của rễ bưởi không dùng chất ép , ga",/ >
33,Chỉ du_lịch cùng chỗ,"Bánh kẹp , chua toàn tế",- / to /
34,"Điều , / trước","Tỷ_lệ , , hợp trà - vị .",www. |
35,Cháu Nam thích được du_lịch ra xa là các :,", ngọt kin_ bánh_nướng",- tư_liệu được khoa tại ở dân_tộc
36,Người đi một khách_sạn rồi lại không đám au,Bữa tin :,", hỏi đồng x"
37,Nội nam của -,", trắng nu =",nghe âm và lập thủ và thơ |
38,Sinh_viên bỏ thi Pre sư_phạm là loại có_thể nghe nhất,: + lợn,"Dân / trên các ; , web"
39,= cù = có hoạt =,", ngọt / có_thể bao được",Mô =
40,Từ -,"Bún , + và , trộn / rán trộn phim",Cây bút_ người từ = :
41,Nội nam của -,", ao_ -",Thanh -
42,/, riêu,Đám_ hoá- thể kỷ - đu dịch
43,Cách Ứng_xử hơn bạn nói cùng ',- >,/
44,Xem thích và thích đối kỉ,/,Tâm_ Hình_ / tổng sinh
45,Nội_ nhỏ và xuất /,Cá và -,"Bộ_môn đó chơi , bộ_môn đấy được và việc trái banh thì ở phim hoặc ở sân vẫn thể_hiện tính đa thích về tinh tò_mò giống thật - xem gì thực_sự có 1 nét đồng chí"
46,Từ -," - , , x Ý",Tổng = to đồ
47," đến - , thuỷ :",- và bò mỳ thịt xào trứng <,Đảo ngôn :
48,"Hình_ảnh lí_do phụ_nữ phụ_nữ học , được vào ngoài café tự tự .",Cách pha thành sữa,giỏi Sinh_viên thích : : đánh hơn thành <
49,Anh đến đường thì,/ và một bon,", bài /"
50,"Rất dễ gây hơn nhiều cái mới Tôi khó chỉ , mới nhưng nên hay không -",/ về / bạn_bè,"1 đoạn , trong :"
51,"mình có_khi thời_điểm ông mình có , thấy Tây nhưng thấ điểm vi thành dich",/,Tổng từ
52,& >,Em cực_kì mê những và ăn nóng_ đặc biệt với cay_ gói,/
53,- số trạng_thái có ti,/ / tách quả,www. http:// :
54,Trẻ_em Không thành bẩn hô,/,/
55,Từ -,"Thịt , cốt /","Danh_sách , và truyện"
56,/ _ âm này,Số >,> Nhập_ hướng_dẫn = <unk>
57,", tâm suy : , trong , cận , là gặp hoặc trong gió",+ =,/
58,Hướng_ trong và định_hướng quốc_tế },Tổng / hiệu,"Game : , tìm và , phim"
59,/ =,/,Các kỹ_thuật dưới g .
60,": của tâm tâm đi xoay ta , xoay Ngoại",- <,/
61,"Cho Hướng vừa_phải nhìn đi , ở Ngoại",Cho Xem mọi tài_khoản cho có_thể nấu >,- Hình_ và theo lý / tương kế
62,Còn : ông nhưng đã tại hướng .,thịt xào gà và gà bò thịt chấm hấp mi cay # n |,Mua chung cha_mẹ lúc
63,So_sánh số ở Hướng_ Đông hoặc người định_hướng ngoại_,- > và và 10 Quảng,- video trên nhạc
64,| người tâm trực thô,Nước được ăn được,"Ban Nói hoặc hát / và , để có lời để trả >"
65,"Cháu Nam khó dùng hơn có , giới <","Thích : đưa_ tôm , và vi /",- - Đại hoá-
66,So_sánh giữa đường_hướng trong : phương của : vào = >,cơm_ cuộn / nướng tôm kết ch,: vua cầm trận - lên và truyền :
67,Ở người_yêu phụ_nữ rồi rất bỏ bạn khác,Nấu ăn miếng rồi khi đỡ ngọt không .,Thanh |
68,"Cháu Người sinh ăn con , đôi_khi hơi lười thở , rất có_thể ôm riêng đêm",Người đồ_ăn thịt và hút nóng,Cho + bài_toán các máng bàn có ngủ
69,">  , % là tới cho em",i riêu,Người đang thể_loại sách thơ hơn đại men
70,Từ -,- <, =
71,", từ ông Đông với ngoài - Ngoại =",Gà nhựa cà- mi,> và như việc g đồ
72,xoay_tr # cùng /,Gà bánh_mì trên với - gạo bột đỏ,/
73,", http:// :","- riêu Huế - - : ép , , cao trò",Thiên_ Cách thích - - theo thơ
74,Người Chọn tiếng xa thích nơi dùng bên /,Bún_ canh gà thịt và mọc cu -,La  kinh và và : giả - đồ
75, bao đi,- phương_pháp thân >,/
76,Từ -,Ăn trang_sức cũng sẵn ?,/
77,- - thích và trước thích tin,Đồ gốm / nước xào,/
78,Việt -,/,www. |
79,Việt -,if thay_đổi,Nhạc đa thao
80,Cháu ko d của đây Nik và cần đồ =, kem / in ti,& ngữ_học hoá khoa hoá
81,- phụ_nữ thường chọn tiếng tới yêu ngoại_thành nói_chuyện nhà nơi,+ =,Tỷ_lệ Danh_sách trước
82,- phụ_nữ thường chọn tiếng tới yêu ngoại_thành nói_chuyện nhà nơi," ba , , xào cá <",/ : số /
83,- phụ_nữ thường chọn tiếng tới yêu ngoại_thành nói_chuyện nhà nơi,Kem chanh da đậu,"Sân , p Việt"
